Place Name,Shortening,State Capital,Latitude,Longitude
Alabama,(AL),Montgomery,32.31823,-86.902298
Alaska,(AK),Juneau,66.160507,-153.369141
Arizona,(AZ),Phoenix,34.048927,-111.093735
Arkansas,(AR),Little Rock,34.799999,-92.199997
California,(CA),Sacramento,36.778259,-119.417931
Colorado,(CO),Denver,39.113014,-105.358887
Connecticut,(CT),Hartford,41.599998,-72.699997
Delaware,(DE),Dover,39,-75.5
Florida,(FL),Tallahassee,27.994402,-81.760254
Georgia,(GA),Atlanta,33.247875,-83.441162
Hawaii,(HI),Honolulu,19.741755,-155.844437
Idaho,(ID),Boise,44.068203,-114.742043
Illinois,(IL),Springfield,40,-89
Indiana,(IN),Indianapolis,40.273502,-86.126976
Iowa,(IA),Des Moines,42.032974,-93.581543
Kansas,(KS),Topeka,38.5,-98
Kentucky,(KY),Frankfort,37.839333,-84.27002
Louisiana,(LA),Baton Rouge,30.39183,-92.329102
Maine,(ME),Augusta,45.367584,-68.972168
Maryland,(MD),Annapolis,39.045753,-76.641273
Massachusetts,(MA),Boston,42.407211,-71.382439
Michigan,(MI),Lansing,44.182205,-84.506836
Minnesota,(MN),Saint Paul,46.39241,-94.63623
Mississippi,(MS),Jackson,33,-90
Missouri,(MO),Jefferson City,38.573936,-92.60376
Montana,(MT),Helena,46.96526,-109.533691
Nebraska,(NE),Lincoln,41.5,-100
Nevada,(NV),Carson City,39.876019,-117.224121
New Hampshire,(NH),Concord,44,-71.5
New Jersey,(NJ),Trenton,39.833851,-74.871826
New Mexico,(NM),Santa Fe,34.307144,-106.018066
New York,(NY),Albany,43,-75
North Carolina,(NC),Raleigh,35.782169,-80.793457
North Dakota,(ND),Bismarck,47.650589,-100.437012
Ohio,(OH),Columbus,40.367474,-82.996216
Oklahoma,(OK),Oklahoma City,36.084621,-96.921387
Oregon,(OR),Salem,44,-120.5
Pennsylvania,(PA),Harrisburg,41.203323,-77.194527
Rhode Island,(RI),Providence,41.742325,-71.742332
South Carolina,(SC),Columbia,33.836082,-81.163727
South Dakota,(SD),Pierre,44.5,-100
Tennessee,(TN),Nashville,35.860119,-86.660156
Texas,(TX),Austin,31,-100
Utah,(UT),Salt Lake City,39.41922,-111.950684
Vermont,(VT),Montpelier,44,-72.699997
Virginia,(VA),Richmond,37.926868,-78.024902
Washington,(WA),Olympia,47.751076,-120.740135
West Virginia,(WV),Charleston,39,-80.5
Wisconsin,(WI),Madison,44.5,-89.5
Wyoming,(WY),Cheyenn,43.07597,-107.290283
