year,month,day,date,state,country,continent,subcontinent,fake_count,real_count
2015,3.0,31.0,2015-03-31,California,United States of America,Americas,Northern America,0.0,3.0
2015,3.0,31.0,2015-03-31,Louisiana,United States of America,Americas,Northern America,0.0,1.0
2015,3.0,31.0,2015-03-31,Missouri,United States of America,Americas,Northern America,0.0,1.0
2015,3.0,31.0,2015-03-31,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,1.0,2015-04-01,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,1.0,2015-04-01,Florida,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,1.0,2015-04-01,Texas,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,2.0,2015-04-02,Wisconsin,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,Canada,Canada,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,Florida,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,France,France,Europe,Western Europe,0.0,1.0
2015,4.0,4.0,2015-04-04,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,6.0
2015,4.0,4.0,2015-04-04,Japan,Japan,Asia,Eastern Asia,0.0,1.0
2015,4.0,4.0,2015-04-04,Libya,Libya,Africa,Northern Africa,0.0,1.0
2015,4.0,4.0,2015-04-04,Netherlands,Netherlands,Europe,Western Europe,0.0,1.0
2015,4.0,4.0,2015-04-04,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,Switzerland,Switzerland,Europe,Western Europe,0.0,1.0
2015,4.0,4.0,2015-04-04,Tennessee,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,Tokyo,Japan,Asia,Eastern Asia,0.0,1.0
2015,4.0,4.0,2015-04-04,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,1.0
2015,4.0,4.0,2015-04-04,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,4.0,2015-04-04,Washington,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,5.0,2015-04-05,California,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,5.0,2015-04-05,New Hampshire,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,5.0,2015-04-05,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,5.0,2015-04-05,Vermont,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,5.0,2015-04-05,Virginia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,6.0,2015-04-06,Colorado,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,6.0,2015-04-06,Connecticut,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,6.0,2015-04-06,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,6.0,2015-04-06,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,2.0
2015,4.0,6.0,2015-04-06,Ohio,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,6.0,2015-04-06,South Carolina,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,6.0,2015-04-06,United States of America,United States of America,Americas,Northern America,0.0,6.0
2015,4.0,7.0,2015-04-07,Cuba,Cuba,Americas,Caribbean,0.0,1.0
2015,4.0,7.0,2015-04-07,Florida,United States of America,Americas,Northern America,0.0,7.0
2015,4.0,7.0,2015-04-07,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,2.0
2015,4.0,7.0,2015-04-07,Massachusetts,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,7.0,2015-04-07,Mexico,Mexico,Americas,Central America,0.0,2.0
2015,4.0,7.0,2015-04-07,Minnesota,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,7.0,2015-04-07,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,7.0,2015-04-07,Ohio,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,7.0,2015-04-07,Texas,United States of America,Americas,Northern America,0.0,7.0
2015,4.0,7.0,2015-04-07,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,8.0,2015-04-08,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,9.0,2015-04-09,Alaska,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,9.0,2015-04-09,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,9.0,2015-04-09,Georgia,Georgia,Asia,Western Asia,0.0,1.0
2015,4.0,9.0,2015-04-09,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,2.0
2015,4.0,9.0,2015-04-09,Massachusetts,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,9.0,2015-04-09,New York,United States of America,Americas,Northern America,0.0,6.0
2015,4.0,9.0,2015-04-09,Ohio,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,9.0,2015-04-09,South Carolina,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,9.0,2015-04-09,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,0.0,1.0
2015,4.0,9.0,2015-04-09,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,10.0,2015-04-10,Alaska,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,10.0,2015-04-10,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,10.0,2015-04-10,Geneva,Switzerland,Europe,Western Europe,0.0,1.0
2015,4.0,10.0,2015-04-10,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,5.0
2015,4.0,10.0,2015-04-10,Louisiana,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,10.0,2015-04-10,Switzerland,Switzerland,Europe,Western Europe,0.0,1.0
2015,4.0,10.0,2015-04-10,Texas,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,11.0,2015-04-11,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,1.0
2015,4.0,11.0,2015-04-11,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,12.0,2015-04-12,Kentucky,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,12.0,2015-04-12,North Carolina,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,Arizona,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,13.0,2015-04-13,Berlin,Germany,Europe,Western Europe,0.0,1.0
2015,4.0,13.0,2015-04-13,California,United States of America,Americas,Northern America,0.0,5.0
2015,4.0,13.0,2015-04-13,Florida,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,13.0,2015-04-13,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,Iowa,United States of America,Americas,Northern America,0.0,3.0
2015,4.0,13.0,2015-04-13,Kentucky,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,Massachusetts,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,Missouri,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,New Hampshire,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,13.0,2015-04-13,New Jersey,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,New York,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,13.0,2015-04-13,Ohio,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,13.0,2015-04-13,Oregon,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,13.0,2015-04-13,Texas,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,13.0,2015-04-13,United States of America,United States of America,Americas,Northern America,0.0,6.0
2015,4.0,13.0,2015-04-13,Wisconsin,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,14.0,2015-04-14,Arizona,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,14.0,2015-04-14,Australia,Australia,Oceania,Australia and New Zealand,0.0,1.0
2015,4.0,14.0,2015-04-14,Canada,Canada,Americas,Northern America,0.0,3.0
2015,4.0,14.0,2015-04-14,Connecticut,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,14.0,2015-04-14,District of Columbia,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,14.0,2015-04-14,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,5.0
2015,4.0,14.0,2015-04-14,New York,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,14.0,2015-04-14,Ontario,Canada,Americas,Northern America,0.0,2.0
2015,4.0,14.0,2015-04-14,Oregon,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,14.0,2015-04-14,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,1.0
2015,4.0,14.0,2015-04-14,Texas,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,14.0,2015-04-14,Turkey,Turkey,Asia,Western Asia,0.0,2.0
2015,4.0,14.0,2015-04-14,United States of America,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,15.0,2015-04-15,Illinois,United States of America,Americas,Northern America,0.0,4.0
2015,4.0,15.0,2015-04-15,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,15.0,2015-04-15,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,1.0
2015,4.0,15.0,2015-04-15,Saudi Arabia,Saudi Arabia,Asia,Western Asia,0.0,3.0
2015,4.0,15.0,2015-04-15,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,3.0
2015,4.0,16.0,2015-04-16,District of Columbia,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,16.0,2015-04-16,Illinois,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,16.0,2015-04-16,Iran (Islamic Republic of),Iran (Islamic Republic of),Asia,Southern Asia,0.0,1.0
2015,4.0,16.0,2015-04-16,New York,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,17.0,2015-04-17,California,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,17.0,2015-04-17,Italy,Italy,Europe,Southern Europe,0.0,1.0
2015,4.0,17.0,2015-04-17,Michigan,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,17.0,2015-04-17,Missouri,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,17.0,2015-04-17,Russian Federation,Russian Federation,Europe,Eastern Europe,0.0,3.0
2015,4.0,17.0,2015-04-17,Syrian Arab Republic,Syrian Arab Republic,Asia,Western Asia,0.0,3.0
2015,4.0,17.0,2015-04-17,United States of America,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,18.0,2015-04-18,Texas,United States of America,Americas,Northern America,0.0,1.0
2015,4.0,19.0,2015-04-19,California,United States of America,Americas,Northern America,0.0,2.0
2015,4.0,19.0,2015-04-19,Canada,Canada,Americas,Northern America,0.0,1.0
