term,ngram_size,is_phrase,count_real,count_dubious,total_count,in_real,in_dubious,max_real,mean_real,stdev_real,max_dubious,mean_dubious,stdev_dubious,relevance_score
aaron,1,False,180,137,317,True,True,5,1.295,0.5932,8,1.5055,1.3208,0.13564668769716087
abadi,1,False,546,15,561,True,True,13,2.6897,2.0767,3,1.25,0.5951,0.946524064171123
abandon,1,False,1059,359,1418,True,True,4,1.1183,0.3744,4,1.2007,0.4974,0.4936530324400564
abbas,1,False,535,14,549,True,True,13,2.2961,1.9877,3,1.2727,0.6166,0.9489981785063752
abbott,1,False,200,81,281,True,True,8,1.7857,1.1215,6,1.9286,1.4702,0.4234875444839858
abc,1,False,728,534,1262,True,True,6,1.3212,0.7028,14,1.4916,1.2919,0.1537242472266244
abd,1,False,105,30,135,True,True,4,1.1932,0.5191,17,3.3333,4.9889,0.5555555555555556
abdel,1,False,260,21,281,True,True,8,1.2207,0.9158,2,1.1667,0.3727,0.8505338078291815
abduct,1,False,123,35,158,True,True,3,1.2178,0.4582,7,1.5909,1.3704,0.5569620253164557
abdul,1,False,107,30,137,True,True,4,1.2022,0.5012,5,1.25,0.8292,0.5620437956204379
abdullah,1,False,469,47,516,True,True,30,1.6285,1.9501,14,1.7407,2.4735,0.8178294573643411
abe,1,False,1256,54,1310,True,True,17,3.1012,3.1407,8,1.5882,1.4373,0.917557251908397
abedin,1,False,283,650,933,True,True,63,2.9789,6.4823,11,2.6104,2.2488,0.3933547695605573
abide,1,False,269,150,419,True,True,6,1.0386,0.3381,3,1.1364,0.404,0.2840095465393795
ability,1,False,2005,829,2834,True,True,5,1.1603,0.4693,8,1.2138,0.7084,0.41496118560338746
able,1,False,3673,2143,5816,True,True,6,1.1833,0.497,6,1.2409,0.6311,0.26306740027510317
aboard,1,False,291,53,344,True,True,6,1.1279,0.5163,3,1.1042,0.3674,0.6918604651162791
abolish,1,False,202,105,307,True,True,5,1.1744,0.5643,4,1.2651,0.6029,0.31596091205211724
abortion,1,False,1897,1036,2933,True,True,24,3.3164,4.2627,26,3.1489,3.8772,0.2935560859188544
abraham,1,False,136,77,213,True,True,5,1.4021,0.9596,5,1.4,0.9264,0.27699530516431925
abrams,1,False,93,23,116,True,True,21,2.1136,3.2349,5,1.6429,1.1089,0.603448275862069
abroad,1,False,1244,273,1517,True,True,6,1.1836,0.5849,5,1.2026,0.5812,0.6400791034937376
abrupt,1,False,134,25,159,True,True,3,1.0308,0.2126,1,1.0,0.0,0.6855345911949685
abruptly,1,False,187,66,253,True,True,2,1.0163,0.1266,2,1.1186,0.3234,0.4782608695652174
absence,1,False,441,118,559,True,True,4,1.0782,0.3479,2,1.0631,0.2431,0.5778175313059034
absent,1,False,199,74,273,True,True,2,1.0102,0.1002,2,1.0725,0.2593,0.45787545787545786
absentee,1,False,77,73,150,True,True,12,2.0263,2.4115,12,2.5172,2.568,0.02666666666666667
absolute,1,False,309,360,669,True,True,5,1.1075,0.4006,3,1.1465,0.4195,0.07623318385650224
absolutely,1,False,890,1186,2076,True,True,5,1.1223,0.3908,4,1.1593,0.4321,0.14258188824662812
absorb,1,False,146,104,250,True,True,2,1.0355,0.1849,5,1.284,0.82,0.168
abstain,1,False,128,39,167,True,True,4,1.2427,0.675,6,1.3929,1.0467,0.5329341317365269
absurd,1,False,185,191,376,True,True,2,1.0632,0.2434,3,1.067,0.2715,0.015957446808510637
abu,1,False,484,104,588,True,True,11,1.3868,1.0054,7,1.3333,0.9828,0.6462585034013606
abuse,1,False,2021,968,2989,True,True,18,1.4698,1.2929,22,1.6407,1.7802,0.3522917363666778
abuser,1,False,50,68,118,True,True,2,1.1364,0.3432,5,1.2593,0.7248,0.15254237288135594
abusive,1,False,104,102,206,True,True,6,1.1818,0.6315,3,1.0851,0.347,0.009708737864077669
aca,1,False,136,111,247,True,True,10,2.125,1.8071,18,1.9474,2.4382,0.10121457489878542
academia,1,False,50,68,118,True,True,3,1.1364,0.404,3,1.2593,0.4786,0.15254237288135594
academic,1,False,605,247,852,True,True,12,1.3355,1.0066,8,1.3646,0.8407,0.42018779342723006
academy,1,False,437,152,589,True,True,29,1.6306,2.218,4,1.2562,0.5965,0.4838709677419355
accelerate,1,False,346,116,462,True,True,5,1.0812,0.3618,2,1.0642,0.2451,0.49783549783549785
accent,1,False,57,98,155,True,True,2,1.0556,0.2291,17,2.0851,3.3059,0.2645161290322581
accept,1,False,2862,1278,4140,True,True,7,1.2283,0.6049,8,1.3054,0.7244,0.3826086956521739
acceptable,1,False,280,213,493,True,True,3,1.1024,0.3281,4,1.1639,0.5179,0.1359026369168357
acceptance,1,False,243,142,385,True,True,4,1.1198,0.4233,3,1.1181,0.3891,0.2623376623376623
access,1,False,3390,1548,4938,True,True,10,1.4244,0.9534,12,1.5621,1.2586,0.3730255164034022
accessible,1,False,122,75,197,True,True,4,1.0517,0.3174,4,1.1364,0.5189,0.23857868020304568
accession,1,False,163,15,178,True,True,6,1.4954,0.9249,3,1.1538,0.5329,0.8314606741573034
accessory,1,False,82,38,120,True,True,8,1.3667,0.9994,4,1.1875,0.6343,0.36666666666666664
accident,1,False,499,194,693,True,True,9,1.526,1.0716,5,1.2278,0.6152,0.4401154401154401
accidental,1,False,84,72,156,True,True,3,1.1053,0.3832,3,1.125,0.4507,0.07692307692307693
accidentally,1,False,88,120,208,True,True,2,1.1,0.3,4,1.2,0.5477,0.15384615384615385
accommodate,1,False,210,70,280,True,True,3,1.1053,0.3692,3,1.0448,0.2695,0.5
accommodation,1,False,162,48,210,True,True,6,1.2756,0.7703,3,1.1429,0.4124,0.5428571428571428
accompany,1,False,592,216,808,True,True,4,1.0783,0.2946,4,1.0588,0.3379,0.46534653465346537
accomplice,1,False,76,63,139,True,True,3,1.1343,0.3823,2,1.05,0.2179,0.09352517985611511
accomplish,1,False,374,270,644,True,True,4,1.1065,0.4148,2,1.1345,0.3411,0.16149068322981366
accomplishment,1,False,196,132,328,True,True,12,1.1329,0.8667,5,1.3069,0.7277,0.1951219512195122
accord,1,False,13346,5193,18539,True,True,12,1.5162,0.9972,18,1.4803,1.0557,0.43977560817735584
accordance,1,False,187,107,294,True,True,3,1.0747,0.3035,2,1.049,0.2159,0.272108843537415
accordingly,1,False,90,71,161,True,True,3,1.0465,0.26,2,1.0597,0.2369,0.11801242236024845
account,1,False,4057,1718,5775,True,True,31,1.4932,1.6151,41,1.5576,1.7171,0.405021645021645
accountability,1,False,451,172,623,True,True,8,1.1963,0.5629,4,1.1316,0.4243,0.4478330658105939
